Chromosome	chromStart	chromEnd	GeneName
CMV_DNA	37483	37849	UL30
CMV_DNA	37605	38175	UL30A
CMV_DNA	38327	40115	UL31
CMV_DNA	40195	43345	UL32
CMV_DNA	43415	44774	UL33
CMV_DNA	45141	46365	UL34
CMV_DNA	46443	48369	UL35
CMV_DNA	48595	50129	UL36
CMV_DNA	50262	53061	UL37
CMV_DNA	51482	52478	UL38
CMV_DNA	13821	14271	UL4
CMV_DNA	53498	54315	UL40
CMV_DNA	53498	54809	UL41A
CMV_DNA	54742	55120	UL42
CMV_DNA	55183	56455	UL43
CMV_DNA	56501	57803	UL44
CMV_DNA	57943	60664	UL45
CMV_DNA	60806	61679	UL46
CMV_DNA	61677	64629	UL47
CMV_DNA	64625	71351	UL48
CMV_DNA	70422	71767	UL48A
CMV_DNA	71689	73402	UL49
CMV_DNA	14358	14859	UL5
CMV_DNA	73358	74555	UL50
CMV_DNA	74576	75050	UL51
CMV_DNA	75087	77094	UL52
CMV_DNA	77086	79338	UL53
CMV_DNA	78194	81923	UL54
CMV_DNA	82066	84790	UL55
CMV_DNA	84752	87305	UL56
CMV_DNA	87871	91579	UL57
CMV_DNA	14965	15808	UL6
CMV_DNA	99519	101748	UL69
CMV_DNA	15865	16534	UL7
CMV_DNA	101847	104688	UL70
CMV_DNA	104703	105789	UL71
CMV_DNA	105869	107036	UL72
CMV_DNA	106972	109089	UL73
CMV_DNA	107430	108849	UL74
CMV_DNA	107740	109089	UL74A
CMV_DNA	109224	111453	UL75
CMV_DNA	111647	112625	UL76
CMV_DNA	112227	114138	UL77
CMV_DNA	114226	115522	UL78
CMV_DNA	115576	116464	UL79
CMV_DNA	15865	16942	UL8
CMV_DNA	116500	118627	UL80
CMV_DNA	117505	118627	UL80.5
CMV_DNA	118788	120468	UL82
CMV_DNA	120656	122342	UL83
CMV_DNA	122613	124377	UL84
CMV_DNA	124408	125329	UL85
CMV_DNA	125490	129603	UL86
CMV_DNA	129662	132488	UL87
CMV_DNA	132484	133774	UL88
CMV_DNA	133770	139698	UL89
CMV_DNA	16947	17649	UL9
CMV_DNA	135142	135478	UL91
CMV_DNA	135447	136053	UL92
CMV_DNA	136018	137803	UL93
CMV_DNA	137660	138698	UL94
CMV_DNA	139696	141298	UL95
CMV_DNA	141294	141678	UL96
CMV_DNA	141798	143922	UL97
CMV_DNA	144015	145770	UL98
CMV_DNA	145706	146279	UL99
CMV_DNA	198543	199014	US1
CMV_DNA	205296	205854	US10
CMV_DNA	205929	206577	US11
CMV_DNA	206762	207608	US12
CMV_DNA	207687	208473	US13
CMV_DNA	208541	209474	US14
CMV_DNA	209518	210307	US15
CMV_DNA	210366	211296	US16
CMV_DNA	211440	212322	US17
CMV_DNA	212589	213414	US18
CMV_DNA	213551	214274	US19
CMV_DNA	199331	199931	US2
CMV_DNA	214320	215085	US20
CMV_DNA	215191	215923	US21
CMV_DNA	216099	217830	US22
CMV_DNA	217943	219722	US23
CMV_DNA	219817	221323	US24
CMV_DNA	221956	223768	US26
CMV_DNA	223832	226530	US27
CMV_DNA	225435	226530	US28
CMV_DNA	226662	228051	US29
CMV_DNA	200345	200906	US3
CMV_DNA	227854	228904	US30
CMV_DNA	229018	229504	US31
CMV_DNA	229621	230173	US32
CMV_DNA	230350	231528	US33A
CMV_DNA	230716	231528	US34
CMV_DNA	231201	231528	US34A
CMV_DNA	201615	202164	US6
CMV_DNA	202589	203267	US7
CMV_DNA	203469	204153	US8
CMV_DNA	204167	204911	US9
